번호,야영장명,주소,화로대,부대시설,주변이용가능시설,테마환경,반려동물출입,비수기_평일_가격,비수기_주말_가격,성수기_평일_가격,성수기_주말_가격,naver_id,states
4904,영덕 천연 탄산수 캠핑장,경상북도 영덕군 영해면 대동로 691,정보없음,정보없음,정보없음,정보없음,정보없음,40000,52000,60000,72000,2012026413,운영중
4905,오수의견 국민여가캠핑장,전라북도 임실군 오수면 의견로 3,정보없음,정보없음,정보없음,정보없음,정보없음,35000,46000,52000,63000,2006533162,운영중
4906,용설호 해바라기캠핑장,경기도 안성시 죽산면 용설호수길 185-10,정보없음,정보없음,정보없음,정보없음,정보없음,40000,52000,60000,72000,1407596810,운영중
4907,산유리120캠핑장,경기도 가평군 가평읍 호반로 1723-48,정보없음,정보없음,정보없음,정보없음,정보없음,45000,58000,68000,81000,2075875275,운영중
4908,홈사리캠핑장,강원도 화천군 화천읍 호음로 215,개별,"전기,장작판매,온수,트렘폴린,물놀이장,산책로,마트.편의점",계곡 물놀이,"여름물놀이,가을단풍명소,걷기길",불가능,50000,65000,75000,90000,2054457813,운영중
4909,레인보우캠프(주),경상남도 함양군 함양읍 함양남서로 879,정보없음,정보없음,정보없음,정보없음,정보없음,45000,58000,68000,81000,NOT_FOUND,휴업
4910,반딧불캠핑장,경기도 양평군 서종면 갈문길 22-7,정보없음,정보없음,정보없음,정보없음,정보없음,35000,46000,52000,63000,2072420773,운영중
4911,사량도 대항해수욕장 캠핑장,경상남도 통영시 사량면 대항길 64-52,개별,정보없음,정보없음,낚시,불가능,40000,52000,60000,72000,32769672,운영중
4912,무봉산 자연휴양림,경기도 화성시 동탄순환대로24길 185 (중동),정보없음,정보없음,정보없음,정보없음,정보없음,40000,52000,60000,72000,1482939779,운영중
4913,동화힐링캠프,경기도 파주시 파평면 파평산로363번길 32-9,개별,"전기,무선인터넷,온수,트렘폴린,물놀이장,놀이터,산책로",산책로,정보없음,불가능,50000,65000,75000,90000,35637335,운영중
4914,라니카이,충청남도 태안군 원북면 학암포길 21-22,정보없음,정보없음,정보없음,정보없음,정보없음,40000,52000,60000,72000,NOT_FOUND,휴업
4915,반시 7223 글램핑,경상남도 밀양시 상동면 고정2길 72-23,정보없음,정보없음,정보없음,정보없음,정보없음,100000,130000,150000,180000,2012808842,운영중
4916,명마동 캠핑장,강원도 영월군 무릉도원면 명마동길 94,개별,"전기,무선인터넷,온수,산책로",계곡 물놀이,정보없음,가능,40000,52000,60000,72000,2028792260,운영중
4917,좋은 날,경기도 안성시 보개면 신장길 107,정보없음,정보없음,정보없음,정보없음,정보없음,40000,52000,60000,72000,2073855005,운영중
4918,스테이지 캠핑앤풀빌라,경기도 가평군 북면 논남기길 501,개별,"전기,무선인터넷,장작판매,온수,마트.편의점",계곡 물놀이,"봄꽃여행,여름물놀이,가을단풍명소,겨울눈꽃명소",불가능,40000,52000,60000,72000,2058076525,운영중
4919,더클래식 관광농원,경기도 포천시 이동면 금강로 5549,개별,"장작판매,온수,물놀이장,놀이터,마트.편의점","운동장,수영장",정보없음,불가능,45000,58000,68000,81000,2050680949,운영중
4920,벨르앙쥬,경기도 가평군 상면 임초밤안골로 273,정보없음,정보없음,정보없음,정보없음,정보없음,40000,52000,60000,72000,NOT_FOUND,휴업
4921,강화 물미 캠핑장,경기도 강화군 양도면 강화남로 726-5,정보없음,정보없음,정보없음,정보없음,정보없음,45000,58000,68000,81000,1951762296,운영중
4922,숲속야영장,경상북도 의성군 단밀면 도안로 702,정보없음,정보없음,정보없음,정보없음,정보없음,35000,46000,52000,63000,1642432984,운영중
4923,무척팜크닉,경상남도 김해시 생림면 안양로 374,정보없음,정보없음,정보없음,정보없음,정보없음,45000,58000,68000,81000,1726506987,운영중
4924,아이섬 웨스턴 리버 글램핑,경기도 가평군 북면 꽃넘이길 115-102,정보없음,정보없음,정보없음,정보없음,정보없음,100000,130000,150000,180000,1020949357,운영중
4925,달빛글램핑,경상남도 합천군 대병면 대병3산로 543-37,정보없음,정보없음,정보없음,정보없음,정보없음,95000,124000,142000,171000,1594628469,운영중
4926,한계령 힐링 캠핑장,강원도 인제군 북면 설악로 3712,정보없음,정보없음,정보없음,정보없음,정보없음,40000,52000,60000,72000,1658300028,운영중
4927,선택적 고립 캠핑장 1,경기도 가평군 상면 축령로70번길 94-45,정보없음,정보없음,정보없음,정보없음,정보없음,40000,52000,60000,72000,NOT_FOUND,휴업
4928,논산숲글램핑야영장,충청남도 논산시 가야곡면 원앙로 1049-11,정보없음,정보없음,정보없음,정보없음,정보없음,100000,130000,150000,180000,1482710796,운영중
4929,어썸 카라반 리조트,경기도 강화군 화도면 해안남로 2174-5,개별,"전기,무선인터넷,장작판매,온수,물놀이장,운동장,마트.편의점",낚시,"일출명소,일몰명소,낚시,여름물놀이,가을단풍명소,겨울눈꽃명소",가능,100000,130000,150000,180000,2076742266,운영중
4930,아이엠글램핑,경기도 강화군 화도면 해안남로 2081,정보없음,정보없음,정보없음,정보없음,정보없음,105000,136000,158000,189000,2032919323,운영중
4931,도지캠핑,충청북도 음성군 원남면 원중로 155,개별,"전기,무선인터넷,장작판매,온수,산책로,운동장","산책로,운동장,청소년체험시설","봄꽃여행,가을단풍명소,걷기길",가능,45000,58000,68000,81000,1744218897,운영중
4932,태안파인포레스트카라반캠핑장,충청남도 태안군 남면 안면대로 1296-46,정보없음,정보없음,정보없음,정보없음,정보없음,90000,117000,135000,162000,1052764799,운영중
4933,하원마을회 [너른도 야영장],제주도 서귀포시 1100로 740-52 (하원동),개별,전기,정보없음,"일출명소,일몰명소",불가능,40000,52000,60000,72000,1065119022,운영중
